# v011b ui-web 翻译批次（translator-a · t17）：forward batch1.tsv(ui 153) + batch2.tsv(website+docs 35) 全处置 + F7 家族 + 扫描盲区
# 列：scope<TAB>source<TAB>target<TAB>anchor(可选)；source 按长度降序（长串优先，契约 §4.7）
# 词条 82 条（ui 77 / website 4 / docs 1）；skip 121 条见 skip.tsv
# 占位符 ${...}/{...} 与 \n/\r\n 转义原样保留；无空格裸词条全部带 anchor
docs	- [x] Stash: create (whole tree or chosen files), apply, pop (one click from the toolbar), drop; stashes as rows in the graph with their own node and menu; apply single files from a stash · Tags: create (annotated/lightweight), delete, checkout · Submodules: list & update	- [x] 暂存：创建（整棵树或所选文件）、应用、弹出（工具栏一键）、丢弃；暂存作为提交图中的行，带有自己的节点与菜单；可从暂存中应用单个文件 · 标签：创建（附注/轻量）、删除、检出 · 子模块：列出与更新
ui	\r\n[could not start shell: ${(error as { message?: string }).message ?? error}]	\r\n[无法启动 shell：${(error as { message?: string }).message ?? error}]
ui	Checkout ${name} failed: ${(error as { message?: string }).message ?? error}	检出 ${name} 失败：${(error as { message?: string }).message ?? error}
ui	Only this file is stashed. Everything else stays in your working copy.	仅此文件被暂存，其余内容保留在工作副本中。
ui	Create a ${prNoun} for ${repo?.headBranch} without leaving AngKorGit	为 ${repo?.headBranch} 创建 ${prNoun}，无需离开 AngKorGit
ui	This is a stash. Tick files to apply only those to the working copy.	这是一个暂存。勾选文件即可只将这些文件应用到工作副本。
ui	${errorLabel}: ${(error as { message?: string }).message ?? error}	${errorLabel}：${(error as { message?: string }).message ?? error}
ui	Discarded ${paths.length} change${paths.length === 1 ? '' : 's'}	已丢弃 ${paths.length} 个更改
ui	Redo failed: ${(error as { message?: string }).message ?? error}	重做失败：${(error as { message?: string }).message ?? error}
ui	Undo failed: ${(error as { message?: string }).message ?? error}	撤销失败：${(error as { message?: string }).message ?? error}
ui	${stash.message} — click to preview, right-click for actions	${stash.message} — 点击预览，右键查看更多操作
ui	Copied ${lines} line${lines === 1 ? '' : 's'} (${side} text)	已复制 ${lines} 行（${side} 文本）
ui	Discarded ${before} staged change${before === 1 ? '' : 's'}	已丢弃 ${before} 个已暂存更改
ui	Open a pre-filled pull request page for ${repo?.headBranch}	为 ${repo?.headBranch} 打开预填的拉取请求页面
ui	The stashed changes are deleted and cannot be recovered.	暂存的更改将被删除且无法恢复。
ui	Create ${forgeNoun(forgeCurrent ? forgeKind : null)}	创建 ${forgeNoun(forgeCurrent ? forgeKind : null)}
ui	Open the commit\u2019s files / back to the graph	打开提交的文件 / 返回提交图
website	文件历史 is there. Line-level blame is on the list.	文件历史已实现。行级 blame 已在计划中。
ui	detached @ ${repo.headOid?.slice(0, 8) ?? '?'}	游离于 ${repo.headOid?.slice(0, 8) ?? '?'}
website	AngKorGit · Git 客户端 for macOS, Windows, Linux	AngKorGit · 面向 macOS、Windows、Linux 的 Git 客户端
ui	${changes} change${changes === 1 ? '' : 's'}	${changes} 个更改
ui	Applied ${basename(files[0])} from the stash	已从暂存中应用 ${basename(files[0])}
ui	Applied ${files.length} files from the stash	已从暂存中应用 ${files.length} 个文件
ui	detached @ ${wt.headOid?.slice(0, 8) ?? '?'}	游离于 ${wt.headOid?.slice(0, 8) ?? '?'}
ui	Discard changes in ${paths.length} files?	丢弃 ${paths.length} 个文件中的更改？
ui	From commit ${dialogContext.slice(0, 8)}	来自提交 ${dialogContext.slice(0, 8)}
ui	Pop latest stash: ${latestStash.message}	弹出最新暂存：${latestStash.message}
ui	rename ${dialogContext} → ${name.trim()}	将 ${dialogContext} 重命名为 ${name.trim()}
ui	Pop latest stash: ${stashes[0].message}	弹出最新暂存：${stashes[0].message}
ui	Unstage ${menuMulti.paths.length} files	取消暂存 ${menuMulti.paths.length} 个文件
ui	At commit ${dialogContext.slice(0, 8)}	在提交 ${dialogContext.slice(0, 8)}
ui	Stage ${menuMulti.paths.length} files	暂存 ${menuMulti.paths.length} 个文件
ui	Stash {menuMulti.paths.length} files…	暂存 {menuMulti.paths.length} 个文件…
ui	Worktree ready · ${basename(created)}	工作树已就绪 · ${basename(created)}
ui	— add a message for an annotated tag.	— 为附注标签添加一条消息。
ui	${count} ${statusMeta[status].label}	${count} 个${statusMeta[status].label}
ui	Cherry-pick ${oids[0].slice(0, 8)}	拣选 ${oids[0].slice(0, 8)}
ui	Pop latest stash (nothing stashed)	弹出最新暂存（当前没有暂存）
ui	Apply ${diff.path} from the stash	从暂存中应用 ${diff.path}
ui	No staged files match the filter.	没有匹配过滤条件的已暂存文件。
ui	Reset ${name} to ${ref.shorthand}	将 ${name} 重置到 ${ref.shorthand}
ui	Previous / next file (file list)	上一个/下一个文件（文件列表）
ui	The stash itself is unchanged.	暂存本身保持不变。
ui	+${leftovers.length - 3} more	+${leftovers.length - 3} 更多
ui	+${remaining.length - 3} more	+${remaining.length - 3} 更多
ui	Select ${diff.path} to apply	选择 ${diff.path} 以应用
ui	create branch ${name.trim()}	创建分支 ${name.trim()}
ui	Reset branch to its remote?	将分支重置到其远端？
ui	No files match the filter.	没有匹配过滤条件的文件。
ui	Checkout after creating	创建后检出
website	AngKorGit contributors	AngKorGit 贡献者	AngKorGit contributors
ui	Stash selected changes	暂存选中的更改
ui	Filter changed files…	过滤更改的文件…
ui	aria-label="Stash"	aria-label="暂存"	aria-label="Stash"
ui	Checkout ${name}	检出 ${name}
ui	Drop this stash?	丢弃此暂存？
ui	Hide file filter	隐藏文件过滤
ui	Pop latest stash	弹出最新暂存
ui	Stash this file…	暂存此文件…
ui	Show in Finder	在 Finder 中显示
ui	Clear filters	清除过滤条件	^\s*Clear filters$
ui	Filter files…	过滤文件…
ui	Clear filter	清除过滤条件
ui	Commit files	提交文件
ui	Filter files	过滤文件
ui	Reset branch	重置分支
ui	'Discard'	'丢弃'	confirmLabel: 'Discard'
ui	'Clean'	'干净'	: 'Clean'}
ui	'Stash'	'暂存'	submit\('Stash'
